iter	Logloss
0	0.5115008146
1	0.4230841275
2	0.3710476084
3	0.3485201883
4	0.3364511416
5	0.3307360107
6	0.3269573227
7	0.3240631365
8	0.3210473022
9	0.3196100425
10	0.3182116039
11	0.3175304357
12	0.3169771293
13	0.3156702247
14	0.3154386054
15	0.3150561156
16	0.3149295147
17	0.314613157
18	0.3145004466
19	0.3143213301
20	0.3141805746
21	0.3140883759
22	0.3136811328
23	0.3135616611
24	0.3134770968
25	0.3133616129
26	0.3132211797
27	0.313133466
28	0.3129358057
29	0.3128254816
30	0.3127439617
31	0.312663666
32	0.3124208032
33	0.3123174283
34	0.3121956627
35	0.3120696163
36	0.311986441
37	0.3118897158
38	0.3117854827
39	0.311718965
40	0.3116048365
41	0.3114764063
42	0.3113856591
43	0.3112928621
44	0.3112155416
45	0.3111049669
46	0.3110221323
47	0.3109286421
48	0.3108628296
49	0.3107974708
50	0.3107130547
51	0.3106543567
52	0.3105991007
53	0.3104718649
54	0.3103964573
55	0.3102973296
56	0.3101343463
57	0.3099827169
58	0.3099067539
59	0.3097854401
60	0.3097129248
61	0.3095858544
62	0.3095163407
63	0.3093951143
64	0.30929672
65	0.3092152841
66	0.3091332515
67	0.3090466575
68	0.3089687434
69	0.3088839473
70	0.3088053314
71	0.3087433335
72	0.3086723521
73	0.3086011599
74	0.3085237328
75	0.3084208006
76	0.3082322222
77	0.3080717994
78	0.307989761
79	0.3076794847
80	0.3076327698
81	0.3075219669
82	0.3074135112
83	0.307326132
84	0.3072254116
85	0.3070872152
86	0.3069756277
87	0.3069009363
88	0.3068166705
89	0.3067359153
90	0.3066628961
91	0.3064775544
92	0.3063699195
93	0.3062331475
94	0.3061536285
95	0.3060888353
96	0.3060066575
97	0.3058851291
98	0.3057460304
99	0.3056221192
100	0.3055402254
101	0.3054591845
102	0.3053734838
103	0.3052862896
104	0.3052210602
105	0.30513072
106	0.3050295228
107	0.3049376066
108	0.3048777865
109	0.3047772166
110	0.304687249
111	0.3046016202
112	0.304495704
113	0.3043970742
114	0.304317781
115	0.3042335027
116	0.3041455845
117	0.304065388
118	0.3040018001
119	0.3039174292
120	0.3038302789
121	0.3037357544
122	0.3036310044
123	0.303518005
124	0.3034136219
125	0.3033144883
126	0.3032395427
127	0.3031592786
128	0.303061927
129	0.3029356202
130	0.3028822664
131	0.3028064604
132	0.3027270467
133	0.3026181407
134	0.3025666542
135	0.3025189434
136	0.302438948
137	0.3023185507
138	0.302249162
139	0.3020895078
140	0.3020265325
141	0.3019227622
142	0.3018109083
143	0.3017172746
144	0.3015928338
145	0.3015104674
146	0.3014249666
147	0.3013652365
148	0.3012794387
149	0.3011725155
150	0.3010835234
151	0.3010215642
152	0.3009091229
153	0.3008157471
154	0.3007125862
155	0.3006147248
156	0.3005321354
157	0.3004260389
158	0.3003212192
159	0.3002463217
160	0.3001724752
161	0.3000837141
162	0.3000229104
163	0.2999460726
164	0.2998460919
165	0.2997396356
166	0.2996612996
167	0.2995910771
168	0.2995057549
169	0.2994371435
170	0.2993446526
171	0.2992599039
172	0.2991970163
173	0.2990984296
174	0.299008529
175	0.2989563608
176	0.2988714482
177	0.2988208723
178	0.2987296592
179	0.2986294264
